blk_street,latitude,longitude,
78 INDUS RD,1.2912955,103.8275612,
128 BT MERAH VIEW,1.2826588,103.8233016,
130 BT MERAH VIEW,1.2850605,103.8244715,
119 BT MERAH VIEW,1.2835678,103.8208789,
114 BT MERAH VIEW,1.2864844,103.8223733,
5 TELOK BLANGAH CRES,1.2788063,103.8192261,
105 HENDERSON CRES,1.2901396,103.8225544,
12 TELOK BLANGAH CRES,1.2771955,103.8196789,
8 TELOK BLANGAH CRES,1.2778549,103.8194072,
18 TELOK BLANGAH CRES,1.2779106,103.8225771,
16 TELOK BLANGAH CRES,1.2780633,103.8213997,
13 TELOK BLANGAH CRES,1.2782145,103.820494,
2 JLN BT MERAH,1.2866982,103.8068191,
1 JLN BT MERAH,1.2865434,103.8083586,
108 JLN BT MERAH,1.2792074,103.8256648,
102 BT PURMEI RD,1.2720458,103.8267436,
106 BT PURMEI RD,1.2730751,103.8256575,
62 TELOK BLANGAH HTS,1.2753474,103.8111688,
63 TELOK BLANGAH HTS,1.2748311,103.8108943,
60 TELOK BLANGAH HTS,1.2761458,103.8122562,
55 TELOK BLANGAH DR,1.2739474,103.8120715,
75 TELOK BLANGAH DR,1.2749161,103.8087208,
141 JLN BT MERAH,1.2771765,103.8289211,
7 EVERTON PK,1.2770881,103.8392427,
3 EVERTON PK,1.2772368,103.8387898,
146 JLN BT MERAH,1.277938,103.8309096,
18 KG BAHRU HILL,1.276543,103.829969,
20 REDHILL CL,1.2867965,103.8173583,
13 REDHILL CL,1.2855119,103.8168625,
19 REDHILL CL,1.286122,103.8177819,
28 JLN BT MERAH,1.286411,103.8098657,
28 HOY FATT RD,1.2864623,103.8098075,
29 HAVELOCK RD,1.2890508,103.8310002,
18 TAMAN HO SWEE,1.2880992,103.8311813,
30 JLN KLINIK,1.287684,103.8282883,
26 JLN KLINIK,1.288261,103.8283736,
28 JLN KLINIK,1.2879695,103.8281924,
22 HAVELOCK RD,1.288844,103.8287358,
37 JLN RUMAH TINGGI,1.2893178,103.8091736,
36 BEO CRES,1.2883406,103.8271961,
6 JLN BT HO SWEE,1.287659,103.831453,
41 KIM CHENG ST,1.2847711,103.8317619,
47 MOH GUAN TER,1.2842849,103.8310639,
34 TELOK BLANGAH WAY,1.2735811,103.8224539,
129 KIM TIAN RD,1.2812371,103.8288318,
120 BT MERAH VIEW,1.282809,103.8225771,
111 BT MERAH VIEW,1.286212,103.823644,
109 JLN BT MERAH,1.2794991,103.8260265,
104 BT PURMEI RD,1.2724898,103.8257478,
110 BT PURMEI RD,1.2738047,103.8270224,
114 BT PURMEI RD,1.275194,103.8258403,
113 BT PURMEI RD,1.2748886,103.8271056,
57 TELOK BLANGAH HTS,1.2746029,103.8125244,
54 TELOK BLANGAH DR,1.2735829,103.8118904,
69 TELOK BLANGAH HTS,1.2756444,103.810354,
51 TELOK BLANGAH DR,1.2735257,103.8100806,
